,,英雄之证,凶骨,龙之牙,虚影之尘,愚者之锁,万死的毒针,魔术髓液,宵哭铁桩,励振火药,世界树之种,鬼魂提灯,八连双晶,蛇之宝玉,凤凰羽毛,无间齿轮,禁断书页,人工生命体幼体,陨蹄铁,大骑士勋章,追忆的贝壳,枯淡勾玉,永远结冰,巨人的指环,极光之钢,闲古铃,,,混沌之爪,蛮神心脏,龙之逆鳞,精灵根,战马的幼角,血之泪石,黑兽脂,封魔之灯,智慧之圣甲虫像,起源的胎毛,咒兽胆石,奇奇神酒,晓光炉心,,,,传承结晶,量子,剑之辉石,弓之辉石,枪之辉石,骑之辉石,术之辉石,杀之辉石,狂之辉石,剑之魔石,弓之魔石,枪之魔石,骑之魔石,术之魔石,杀之魔石,狂之魔石,剑之秘石,弓之秘石,枪之秘石,骑之秘石,术之秘石,杀之秘石,狂之秘石,剑阶银棋,弓阶银棋,枪阶银棋,骑阶银棋,术阶银棋,杀阶银棋,狂阶银棋,剑阶金像,弓阶金像,枪阶金像,骑阶金像,术阶金像,杀阶金像,狂阶金像
47,死亡监狱·夏日大逃脱 ～罪与绝望的梅芙大监狱 2018～,30,,40,10,5,30,40,,,,20,5,25,20,20,25,5,5,20,40,,,,,,,,,9,10,8,5,20,25,25,12,20,21,20,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,难解难分·夏日锦标赛！ ～梦与希望的伊什塔尔杯 2018～,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,复刻：夏日！海洋！开拓啦！FGO 2017 Summer 迦勒底灼热之旅 ～进化的文明～ 轻量版,30,30,4,5,30,,,,,37,21,20,2,22,1,20,,20,20,65,,,,,,,,30,10,11,10,21,,20,20,10,,,10,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,复刻：夏日！海洋！开拓啦！FGO 2017 Summer 迦勒底夏日回忆 ～治愈的白沙滩～ 轻量版,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,复刻：天魔御伽草子 鬼岛 轻量版,,39,30,30,,30,,,,,23,20,20,20,20,8,24,,2,,,,,,,,,20,12,10,10,20,20,2,,,20,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,复刻：鬼哭醉梦魔京 罗生门 短程版,,5,25,25,,,,,,5,20,25,20,7,5,5,20,5,,,,,,,,,,26,17,25,12,2,27,15,,2,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Fate/EXTRA CCC×Fate/Grand Order 特别活动「深海电脑乐土 SE.RA.PH」,10,30,30,19,,,10,,,30,,10,,20,,20,,20,10,20,,,,,,,,10,13,10,5,20,,10,10,9,20,10,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,唠唠叨叨明治维新,30,,,,30,,30,,,,20,,,,,,,,20,,,,,,,,,,10,,10,,15,,20,10,15,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,复刻：唠唠叨叨本能寺 轻量版,,,,20,,30,,,,,,20,,20,20,20,20,20,,,,,,,,,,20,10,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,复刻：巧克力小姐的大惊小怪 -Valentine 2017- 扩大版,,,30,,,,,,,,,,,,20,,,,20,,,,,,,,,,,10,,,,20,,,20,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,复刻：监狱塔内复仇鬼的哭泣,21,27,4,12,,,,,,,6,4,,,2,,7,,,,,,,,,,,4,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,复刻：月之女神可曾有过团子之梦？ 轻量版,,,,,,30,,,,,,,20,20,,20,,,,,,,,,,,,20,13,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,第二代是Alter亲 ～2017圣诞节～,30,24,,25,,,,,,30,,1,18,20,1,,,,,20,,,,,,,,,10,10,10,20,20,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,复刻：大约一周的圣诞Alter小姐 轻量版,40,40,40,40,,,,,,20,,,20,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Halloween Comeback！超极☆大南瓜村 ～踏上冒险之旅……～ ,5,,30,,5,,,,,,,,20,20,,,,,3,,,,,,,,,,10,5,,,20,20,20,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,复刻：歌唱南瓜城的冒险 ～疯狂派对 2016～轻量版,,20,20,,,,,,,,20,,,,,5,20,,,,,,,,,,,,,10,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,尼禄祭再临 ～2017 Autumn～,30,,,30,,,,,,,,20,20,20,,,,,,20,,,,,,,,20,5,5,5,5,5,5,20,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,魔法少女纪行 ～Prisma·Codes～,15,15,10,,30,,,,,30,,10,15,22,20,20,20,10,15,,,,,,,,,20,5,10,10,10,21,10,10,15,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,夏日！海洋！开拓啦！FGO 2017 Summer 迦勒底灼热之旅 ～进化的文明～ ,30,30,4,5,30,,,,,37,21,20,2,20,1,20,,20,20,65,,,,,,,,30,10,11,10,21,,20,20,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,夏日！海洋！开拓啦！FGO 2017 Summer 迦勒底夏日回忆 ～治愈的白沙滩～ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,天魔御伽草子 鬼岛,,39,30,30,,,,,,,23,20,20,20,,8,20,,,,,,,,,,,20,10,10,10,20,20,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,星之三藏亲，远赴天竺,20,20,,,,,,,,,,20,,20,20,20,,20,,,,,,,,,,,10,10,10,20,,20,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,鬼哭醉梦魔京 罗生门,,5,25,25,,,,,,5,20,5,20,5,5,5,20,5,,,,,,,,,,26,15,25,10,,15,15,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fate/Accel Zero Order,20,30,20,40,,,,,,30,,30,10,20,20,20,,10,,,,,,,,,,10,10,10,15,25,5,10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,达芬奇与七位赝作英灵,,,,4,,,,,,,20,,,20,,,20,,,,,,,,,,,20,20,,20,20,20,20,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,监狱塔内复仇鬼的哭泣,18,21,16,7,,,,,,,6,4,,,2,,15,,,,,,,,,,,3,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,空之境界/the Garden of Order,52,30,30,36,,,,,,30,23,30,,20,20,,10,10,,,,,,,,,,20,10,15,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,巧克力小姐的大惊小怪 -Valentine 2017-,,,,,,,,,,,,20,20,20,,20,20,,,,,,,,,,,,,10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Saber Wars ～Lily的宇宙武者修行～,20,,20,28,,,,,,,,,,20,,,9,,,,,,,,,,,19,19,19,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,大约一周的圣诞Alter小姐,,,,,,,,,,20,,,20,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,唠唠叨叨本能寺,,,,20,,,,,,,,20,,20,20,20,20,20,,,,,,,,,,20,10,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,歌唱南瓜城的冒险 ～疯狂派对2016～,,20,20,,,,,,,,20,,,,,5,20,,,,,,,,,,,,,10,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,月之女神可曾有过团子之梦？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,尼禄祭 ～淘汰激战竞技场～,,,,,,,,,,10,5,5,5,5,15,15,15,15,,,,,,,,,,5,3,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,激斗！职阶从者战,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
